id,name,sex,background,party,topic,type,label
846,Politik - Trump Abgang,0,0,0,1,0,177
ULueken,Ulrike Lueken,2,4,0,0,1,178
MMittermeier,Michael Mittermeier,1,8,0,0,1,179
847,Corona - Weihnachten und Winter,0,0,0,3,0,180
TChrupalla,Tino Chrupalla,1,1,6,0,1,181
MJung,Matthias Jung,1,4,0,0,1,182
848,Politik - Rechts und Links,0,0,0,1,0,183
FMontgomery,Frank Ulrich Montgomery,1,4,0,0,1,184
849,Corona - Winter,0,0,0,3,0,185
LFederle,Lisa Federle,2,4,0,0,1,186
850,Corona - Impfen und Shutdown,0,0,0,3,0,187
