id,name,sex,background,party,topic,type
PKremsner,Peter Kremsner,1,4,0,0,1
845,Corona - Kraftakt zur Impfung,0,0,0,3,0
DSchwarzer,Daniela Schwarzer,2,4,0,0,1
SMekhennet,Souad Mekhennet,2,3,0,0,1
846,Politik - Trump Abgang,0,0,0,1,0
ULueken,Ulrike Lueken,2,4,0,0,1
MMittermeier,Michael Mittermeier,1,8,0,0,1
847,Corona - Weihnachten und Winter,0,0,0,3,0
TChrupalla,Tino Chrupalla,1,1,6,0,1
MJung,Matthias Jung,1,4,0,0,1
848,Politik - Rechts und Links,0,0,0,1,0
FMontgomery,Frank Ulrich Montgomery,1,4,0,0,1
849,Corona - Winter,0,0,0,3,0
LFederle,Lisa Federle,2,4,0,0,1
850,Corona - Impfen und Shutdown,0,0,0,3,0
